orderId,userId,symbol,type,quantity,price,timestamp,status
1001,1,AAPL,BUY,100,174.50,2025-03-31T09:30:00,PENDING
1002,2,AAPL,SELL,50,176.00,2025-03-31T09:31:00,PENDING
1003,3,MSFT,BUY,200,379.00,2025-03-31T09:32:00,PENDING
1004,4,MSFT,SELL,150,381.00,2025-03-31T09:33:00,PENDING
1005,5,TSLA,BUY,75,244.00,2025-03-31T09:34:00,PENDING
1006,6,TSLA,SELL,100,246.50,2025-03-31T09:35:00,PENDING
1007,1,GOOGL,BUY,120,142.00,2025-03-31T09:36:00,PENDING
1008,7,GOOGL,SELL,80,143.50,2025-03-31T09:37:00,PENDING
1009,8,NVDA,BUY,50,870.00,2025-03-31T09:38:00,PENDING
1010,9,NVDA,SELL,30,877.00,2025-03-31T09:39:00,PENDING
1011,2,AMZN,BUY,150,177.50,2025-03-31T09:40:00,PENDING
1012,3,AMZN,SELL,100,179.50,2025-03-31T09:41:00,PENDING
1013,10,META,BUY,60,483.00,2025-03-31T09:42:00,PENDING
1014,4,META,SELL,40,487.00,2025-03-31T09:43:00,PENDING
1015,5,JPM,BUY,200,194.50,2025-03-31T09:44:00,PENDING
1016,11,JPM,SELL,150,196.50,2025-03-31T09:45:00,PENDING
1017,6,V,BUY,100,274.00,2025-03-31T09:46:00,PENDING
1018,12,V,SELL,80,276.00,2025-03-31T09:47:00,PENDING
1019,7,NFLX,BUY,45,623.00,2025-03-31T09:48:00,PENDING
1020,8,NFLX,SELL,50,627.00,2025-03-31T09:49:00,PENDING
